Date,HolidayName
2026-03-27,Ram Nawami
2026-03-18,Ghode Jatra
2026-03-08,International Woman Day
2026-03-02,Fagu Purnima
2026-02-19,Prajatantra Diwas
2026-02-18,Gyalpo Lhosar
2026-02-15,Mahashiva Ratri
2026-01-30,Martyrs Day
2026-01-19,Sonam Lhosar
2026-01-15,Maghe Sankranti
2026-01-11,Prithvi Jayanti
2025-12-30,Tamu Lhosar
2025-12-25,Christmas Day
2025-12-04,Udhauli Parva and Yomari Punhi
2025-10-27,Chhath Parva
2025-10-24,Tihar Bida
2025-10-23,Bhai Tika
2025-10-22,Mha Puja
2025-10-21,Gai Puja
2025-10-20,Laxmi Puja
2025-10-06,Public holiday
2025-10-05,Public Holiday
2025-10-03,Dashain bida
2025-10-02,Bijaya Dashami
2025-10-01,MahaNawami
2025-09-30,MahaAstami
2025-09-29,Fulpati
2025-09-22,Ghatasthapana
2025-09-19,Sambidhan Diwas
2025-09-17,Mourn Day
2025-09-16,Emergency Holiday
2025-09-15,Emergency Holiday
2025-09-14,Emergency Holiday
2025-09-11,Emergency Holiday
2025-09-10,Emergency Holiday
2025-09-09,Emergency Holiday
2025-09-06,Indra Jatra
2025-08-16,Shree Krishna Janmasthami
2025-08-09,Janai Purnima
2025-06-01,Bhoto Jatra
2025-05-29,Republic Day
2025-05-12,Buddha Jayanti & Ubhauli parva
2025-05-01,Labour Day
2025-04-14,New Year
2025-04-06,Ram Nawami
2025-03-31,EID
2025-03-29,Ghode Jatra
2025-03-13,Fagu Purnima
2025-03-08,International Woman Day
2025-02-28,Gyalpo Lhosar
2025-02-26,Mahashiva Ratri
2025-02-19,Prajatantra Diwas
2025-01-30,Sonam Lhosar
2025-01-29,Martyrs Day
2025-01-14,Maghe Sankranti
2025-01-11,Prithvi Jayanti
2024-12-30,Tamu Lhosar
2024-12-25,Christmas Day
2024-12-15,Udhauli Parva and Yomari Punhi
2024-11-18,Mourn Holiday
2024-11-07,Chhath Parva
2024-11-04,Tihar Bida
2024-11-03,Bhai Tika
2024-11-02,Mha Puja
2024-11-01,Gai Puja
2024-10-31,Laxmi Puja
2024-10-14,Dwadashi
2024-10-13,Ekadasi
2024-10-12,Bijaya Dashami
2024-10-11,MahaAstami MahaNawami
2024-10-10,Fulpati
2024-10-03,Ghatasthapana
2024-09-19,Sambidhan Diwas
2024-09-17,Indra Jatra
2024-08-26,Shree Krishna Janmasthami
2024-08-20,Gai Jatra
2024-08-19,Janai Purnima
2024-08-04,Bhoto jatra
2024-06-17,Eid
2024-05-28,Republic Day
2024-05-23,Buddha Jayanti
2024-05-01,Labour Day
2024-04-23,Royal Visit of Amir of Qutar
2024-04-17,Ram Nawami
2024-04-13,Nepali New Year
2024-04-11,EID UL FITRA
2024-04-08,Ghode Jatra
2024-03-24,Fagu Purnima
2024-03-11,Gyalpo Lhosar
2024-03-08,Mahashiva Ratri International Woman Day
2024-02-19,Prajatantra Diwas
2024-01-15,Maghe Sankranti
2024-01-12,Prithvi Jayanti
2023-12-31,Tamu Lhosar
2023-12-26,Udhauli Parva and Yomari Punhi
2023-12-25,Christmas Day
2023-11-19,Chhath Parva
2023-11-16,Tihar Bida
2023-11-15,Bhai Tika Kjja Puja
2023-11-14,Mha Puja
2023-11-13,Gai Puja
2023-11-12,Laxmi Puja
2023-10-26,Dwadashi
2023-10-25,Ekadasi
2023-10-24,Bijaya Dasami
2023-10-23,MahaNawami
2023-10-22,MahaAstami
2023-10-21,Fulpati
2023-10-15,Ghatasthapana
2023-09-28,Indra Jatra
2023-09-20,sambidhan diwas
2023-09-14,Government Holiday
2023-09-06,Shree Krishna Janmasthami
2023-08-31,Janai Purnima
2023-06-29,Bakra Eid
2023-05-29,Republic Day
2023-05-25,Bhoto Jatra
2023-05-05,Buddha Jayanti
2023-05-01,Labour Day
2023-04-14,Nepali New Year
2023-03-21,Ghode Jatra
2023-03-08,International Woman Day
2023-03-06,Fagu Purnima
2023-02-21,Gyalpo Lhosar
2023-02-19,Prajatantra Diwas
2023-02-13,Janayuddha Diwas
2023-01-22,Sonam Lhosar
2023-01-16,Government Holiday
2023-01-15,Maghe Sankranti
2023-01-11,Prithvi Jayanti
2022-12-30,Tamu Lhosar
2022-12-25,Christmas Day
2022-12-08,Udhauli Parva and Yomari Punhi
2022-11-21,Elections Holiday
2022-11-20,Elections Holiday
2022-10-30,Chhath Parva
2022-10-28,Tihar Bida
2022-10-27,Bhai Tika Kjja Puja
2022-10-26,Mha Puja
2022-10-25,Gai Puja
2022-10-24,Laxmi Puja
2022-10-18,Government holiday
2022-10-07,Dwadashi
2022-10-06,Ekadasi
2022-10-05,Bijaya Dasami
2022-10-04,MahaNawami
2022-10-03,MahaAstami
2022-10-02,Fulpati
2022-09-26,Ghatasthapana
2022-09-19,Sabidan Diwas
2022-09-09,Indra Jatra
2022-08-19,Shree Krishna Janmasthami
2022-08-12,Janai Purnima
2022-07-10,Bakra Eid
2022-05-16,Buddha Jayanti
2022-05-03,EID UL FITRA
2022-05-01,May Day
2022-04-14,New Year BS
2022-04-10,Ram Nawami
2022-04-01,Godhe Jatra
2022-03-17,Fagu Purnima
2022-03-08,International Woman Day
2022-03-03,Gyalpo Lhosar
2022-03-01,Mahasiva ratri
2022-02-02,Sonam Lhosar
2022-01-15,Maghe sangrati
2021-12-30,Tamu Lhosar
2021-12-19,Yomari Purne
2021-11-10,Chhat Puja
2021-11-07,Tihar Bida
2021-11-06,Bhai Tika
2021-11-05,Mha Puja
2021-11-04,Laxmi Puja
2021-10-16,Ekadasi
2021-10-15,BijayaDashami
2021-10-14,MahaNawami
2021-10-13,MahaAstami
2021-10-12,Fulpati
2021-10-07,Gatasthapana
2021-09-19,Sambidhaan Diwas
2021-08-30,Shree Krishna Janmasthami
2021-08-23,Gaaijaatraa
2021-08-22,Janai Purnima
2021-07-21,Bakra Eid
2021-05-26,Buddha Jayanti
2021-04-14,New Year
2021-04-11,Ghodejatra
2021-03-28,Holi
2021-03-11,Maha Shivaratri
2021-03-08,International Womens Day
2021-01-14,Maghe Sankantri
