Date,HolidayName
2020-11-17,Kija Puja
2020-11-16,Bhai Tika
2020-11-15,Maa Puja
2020-10-27,Dashai Ekadasi
2020-10-26,Bijaya Dashami
2020-10-25,Mahanawami
2020-10-23,Fulpati
2020-09-01,Indra Jatra
2020-08-04,Gai Jatra
2020-06-28,As Per NEPSE Board
2020-06-27,As Per NEPSE Board
2020-06-26,As Per NEPSE Board
2020-06-25,As Per NEPSE Board
2020-06-24,As Per NEPSE Board
2020-06-23,As Per NEPSE Board
2020-06-22,As Per NEPSE Board
2020-06-21,As Per NEPSE Board
2020-06-20,As Per NEPSE Board
2020-06-19,As Per NEPSE Board
2020-06-18,As Per NEPSE Board
2020-06-17,As Per NEPSE Board
2020-06-16,As Per NEPSE Board
2020-06-15,As Per NEPSE Board
2020-06-14,As Per NEPSE Board
2020-06-13,As Per NEPSE Board
2020-06-12,As Per NEPSE Board
2020-06-11,As Per NEPSE Board
2020-06-10,As Per NEPSE Board
2020-06-09,As Per NEPSE Board
2020-06-08,As Per NEPSE Board
2020-06-07,As Per NEPSE Board
2020-06-06,As Per NEPSE Board
2020-06-05,As Per NEPSE Board
2020-06-04,As Per NEPSE Board
2020-06-03,As Per NEPSE Board
2020-06-02,As Per NEPSE Board
2020-06-01,As Per NEPSE Board
2020-05-31,As Per NEPSE Board
2020-05-29,As Per NEPSE Board
2020-05-28,As Per NEPSE Board
2020-05-27,As Per NEPSE Board
2020-05-26,As Per NEPSE Board
2020-05-25,As Per NEPSE Board
2020-05-24,As Per NEPSE Board
2020-05-22,As Per NEPSE Board
2020-05-21,As Per NEPSE Board
2020-05-20,As Per NEPSE Board
2020-05-19,As Per NEPSE Board
2020-05-18,As Per NEPSE Board
2020-05-17,As Per NEPSE Board
2020-05-16,As Per NEPSE Board
2020-05-15,As Per NEPSE Board
2020-05-11,As Per NEPSE
2020-05-10,As Per Nepse
2020-05-07,Buddha Jayanti
2020-05-06,As Per NEPSE Board
2020-05-05,As Per NEPSE Board
2020-05-04,As Per NEPSE Board
2020-05-03,As Per NEPSE Board
2020-05-01,As Per NEPSE Board and May Day
2020-04-30,As Per NEPSE Board
2020-04-29,As Per NEPSE Board
2020-04-28,As Per NEPSE Board
2020-04-27,"As Per Order by SEBON, Lockdown"
2020-04-26,"As Per Order by SEBON, Lockdown"
2020-04-25,"As Per Order by SEBON, Lockdown"
2020-04-24,"As Per Order by SEBON, Lockdown"
2020-04-23,"As Per Order by SEBON, Lockdown"
2020-04-22,"As Per Order by SEBON, Lockdown"
2020-04-21,"As Per Order by SEBON, Lockdown"
2020-04-20,"As Per Order by SEBON, Lockdown"
2020-04-19,"As Per Order by SEBON, Lockdown"
2020-04-18,"As Per Order by SEBON, Lockdown"
2020-04-17,"As Per Order by SEBON, Lockdown"
2020-04-16,"As Per Order by SEBON, Lockdown"
2020-04-15,As Per Order by SEBON Lockdown
2020-04-14,As Per Order by SEBON Lockdown
2020-04-13,New Year Holiday
2020-04-11,As Per Order by SEBON Lockdown
2020-04-10,As Per Order by SEBON Lockdown
2020-04-09,As Per Order by SEBON Lockdown
2020-04-08,As Per Order by SEBON Lockdown
2020-04-07,"As Per Order by SEBON, Lockdown"
2020-04-06,"As Per Order by SEBON, Lockdown"
2020-04-05,"As Per Order by SEBON, Lockdown"
2020-04-04,"As Per Order by SEBON, Lockdown"
2020-04-03,"As Per Order by SEBON, Lockdown"
2020-04-02,"As Per Order by SEBON, Lockdown"
2020-04-01,"As Per Order by SEBON, Lockdown"
2020-03-31,"As Per Order by SEBON, Lockdown"
2020-03-30,As Per Order by SEBON
2020-03-29,As Per Order by SEBON
2020-03-27,As Per Order by SEBON
2020-03-26,As Per Order by SEBON
2020-03-25,As Per Order by SEBON
2020-03-24,Ghode Jatra
2020-03-23,As Per Order by SEBON
2020-03-09,Holi Festival
2020-03-08,International Woman Day
2020-02-21,Maha Sivaratri
2019-10-30,Kija Puja
2019-10-29,Bhai Tika Tihar
2019-10-28,Tihar second day
2019-10-27,Laxmi Puja Tihar
2019-10-13,As Declared By Nepal Goverment
2019-10-09,Ekadashi
2019-10-08,Dashami
2019-10-07,Nawami
2019-10-06,Maha Astami
2019-10-05,Fulpati
2019-09-20,Constitution Day
2019-09-13,Indra Jatra
2019-08-16,Gai Jatra
2019-06-09,Bhoto Jatra
2019-06-05,Eid ul Fitr
2019-05-01,May Day
2019-04-14,New Years Holiday
2019-04-05,Ghode Jatra Kathmandu Valley Holiday
2019-03-20,Holi Purnima
2019-03-08,International Woman Day
2019-03-04,Maha Sivaratri
2019-02-28,Public Holiday
2018-11-09,Bhai Tika
2018-11-08,Govardhan Puja
2018-11-07,Laxmi Puja
2018-10-19,Vijaya Dashami
2018-10-18,Maha Nawami
2018-10-17,Maha Astami
2018-10-16,Fulpati
2018-10-03,For settlment
2018-10-02,For settlment
2018-10-01,For settlement
2018-09-28,for settlment test
2018-09-27,for settlment test
2018-09-24,Indra Jatra
2018-09-19,Constitution Day
2018-08-27,Gaijatra holiday
2018-07-27,for settement
2018-05-13,Bhoto Jatra
2018-05-01,May Day . International Labour Day
2018-04-30,BUDDHA JAYANTI
2018-03-25,Ram Navami
2018-03-08,Women's Day
2018-03-01,Holi
2018-02-19,Democracy Day
2018-02-16,Gyalbo Loshar
2018-02-13,Shivaratri
2018-01-30,Sahid Diwas
2018-01-18,Sonam Lhosar
2018-01-15,Maghe Sankranti
2018-01-11,National Unity Day
2017-12-25,Christmas Day
2017-12-07,Federal and Provincial Election
2017-12-03,Udhauli Parva
2017-12-01,barha Rabbiul (mohammad janmadin)
2017-10-27,Chhath Extended
2017-10-26,Chhath Parva
2017-10-20,Govardhan Puja
2017-10-19,Laxmi Puja
2017-10-05,Kojagrat Purnima
2017-10-02,Dashain Bida
2017-10-01,Dashain Bida
2017-09-29,Dashain Bida
2017-09-28,Dashain Bida
2017-09-27,Dashain Bida
2017-09-26,Chhath Parva
2017-09-21,Ghatasthapana
2017-09-19,Constitution Day
2017-09-05,Indra Jatra
2017-09-03,Bakar Eid
2017-08-29,Gaura Parva
2017-08-14,Krishna Janmastami
2017-08-08,Gai Jatra
2017-07-28,Janai Purnima(Naag Panchami)
2017-06-26,Eid ul Fitra
2017-05-29,Republic Day
2017-05-25,Bhoto Jatra
2017-05-14,Local Body Election
2017-05-10,Buddha Jayanti
2017-05-01,May Day
2017-04-17,Prez Visit to India
2017-04-14,New Year
2017-04-05,Ram Navami
2017-03-27,Ghode Jatra
2017-03-12,Fagu purnima
2017-03-08,International Women's Day
2017-02-27,Gyalpo Lhosar
2017-02-24,Maha Shivaratri
2017-01-29,Sahid Diwas
2016-12-30,Tamu Lohshar
2016-12-25,Christmas Day
2016-12-13,Yomari Purnima
2016-11-06,Chath
2016-11-02,Public holiday (Indain Presidents visit)
2016-11-01,Tihar
2016-10-31,Tihar
2016-10-30,Tihar
2016-10-13,Dashain Bida
2016-10-12,Dashain Bida
2016-10-11,Dashain Bida
2016-10-10,Dashain Bida
2016-10-09,Dashain Bida
2016-09-19,Constitution Day
2016-09-15,Indra Jatra
2016-09-13,Bakar Eid
2016-08-25,Krishnaastami
2016-08-19,Gai Jatra
2016-08-18,Janai Purnima
2016-07-29,Bhoto jatra
2016-07-07,Eid-Ul Fitra
2016-05-01,May Day
2016-04-15,Ram Navami
2016-04-13,New Year
2016-04-07,Ghode Jatra
2016-03-22,Fagu Purnima
2016-03-09,Ghyalpo Lhosar
2016-03-08,International Woman's Day
2016-03-07,Maha Shivaratri
2016-02-19,Democracy Day
2016-02-10,Sushil Koirala-Shok Bida
2016-02-09,Sonam Lohsar
2016-01-15,Maghe Sankranti
2015-12-30,Tamu lohsar
2015-12-25,Christmas Day
2015-11-17,Chhath
2015-11-13,Tihar
2015-11-12,Tihar
2015-11-11,Tihar
2015-10-26,Kojagrat Purnima
2015-10-23,Dashain Bida
2015-10-22,Dashain Bida
2015-10-21,Dashain Bida
2015-10-20,Dashain Bida
2015-10-13,Ghatasthapana
2015-10-12,Bhoto Jatra
2015-09-27,Indra Jatra
2015-09-25,Bakr Eid
2015-09-21,Constitution issue celebration
2015-09-20,Constitution issue day
2015-08-30,Gai jatra
2015-07-21,Public Holiday by GON
2015-07-20,Public Holiday by GON
2015-07-19,Eid 2015
2015-05-29,Ganatantra Diwas
2015-05-22,market closed until next decision
2015-05-21,market closed until next decision
2015-05-20,market closed until next decision
2015-05-19,market closed until next decision
2015-05-18,market closed until next decision
2015-05-17,market closed until next decision
2015-05-15,market closed until next decision
2015-05-14,market closed until next decision
2015-05-13,market closed until next decision
2015-05-12,market closed until next decision
2015-05-11,market closed until next decision
2015-05-10,market closed until next decision
2015-05-08,market closed until next decision
2015-05-07,market closed until next decision
2015-05-06,market closed until next decision
2015-05-05,market closed until next decision
2015-05-04,Buddha Jayanti
2015-05-03,Market closed until next decision
2015-05-01,May Day
2015-04-30,market closed until next decision
2015-04-29,market closed until next decision
2015-04-24,Loktantra Diwas
2015-04-17,shok bida
2015-04-14,New Year
2015-03-20,Ghode Jatra
2015-03-08,Woman's Day
2015-03-05,Fagu Purnima
2015-02-19,Democracy Day
2015-02-17,Shiva Ratri
2015-01-30,Sahid Diwas
2015-01-21,Sonam Lhosar
2015-01-15,Maghe Sankranti
2014-12-30,Tamu Lhosar
2014-12-25,Xmas Day
2014-11-27,SAARC Summit
2014-11-26,SAARC Summit
2014-10-29,Chath Parva
2014-10-24,Govardan puja
2014-10-23,Laxmi puja
2014-10-07,Kojagrat Purnima
2014-10-06,Bakar Eid
2014-10-05,Dashain Bida
2014-10-03,Dashain Bida
2014-10-02,Dashain Bida
2014-10-01,Dashain bida
2014-09-25,Ghatasthapana
2014-09-08,Indra Jatra
2014-09-02,Gaura parva
2014-08-17,Shree Krishna Janmastami
2014-08-11,Gai jatra
2014-08-10,Janai Purnima
2014-07-29,Eid
2014-06-22,Bhoto Jatra
2014-05-29,Ganatantra Diwas
2014-05-14,Buddha Jayanti
2014-05-07,for settlement
2014-05-01,Majdur Diwas
2014-04-24,Loktantra Diwas
2014-04-14,New Year 2071
2014-04-08,Ram nawami
2014-03-30,Ghode Jatra
2014-03-02,Loshar
2014-02-27,Maha Sibaratri
2014-02-19,Democracy Day
2014-01-31,Sonam Losar
2014-01-30,Sahid Diwas
2014-01-20,for settlement
2014-01-19,for settlement
2014-01-17,for settlement
2014-01-16,for settlement
2014-01-15,Maghe Sankranti
2014-01-14,for settlement
2014-01-13,for settlement
2014-01-12,for settlement
2014-01-10,for settlement
2014-01-09,for settlement
2014-01-08,for settlement
2014-01-07,for settlement
2014-01-06,for settlement
2014-01-05,for settlement
2014-01-03,for settlement
2014-01-02,for settlement
2014-01-01,for settlement
2013-12-31,for settlement
2013-12-30,Tamu Losar
2013-12-29,for settlement
2013-12-27,for settlement
2013-12-26,for settlement
2013-12-25,for settlement
2013-12-24,for settlement
2013-12-23,for settlement
2013-12-22,for settlement
2013-12-20,for settlement
2013-12-19,for settlement
2013-12-18,for settlement
2013-12-17,Udayli Parba
2013-12-16,for settlement
2013-12-15,for settlement
2013-12-13,for settlement
2013-12-12,for settlement
2013-12-11,for settlement
2013-12-10,for settlement
2013-12-09,for settlement
2013-12-08,for settlement
2013-12-06,for settlement
2013-12-05,for settlement
2013-12-04,for settlement
2013-12-03,for settlement
2013-12-02,for settlement
2013-12-01,for settlement
2013-11-29,for settlement
2013-11-28,for settlement
2013-11-27,for settlement
2013-11-26,for settlement
2013-11-25,for settlement
2013-11-24,for settlement
2013-11-22,for settlement
2013-11-21,for settlement
2013-11-20,election
2013-11-19,election
2013-11-18,election
2013-11-17,election
2013-11-15,for settlement
2013-11-14,for settlement
2013-11-13,for settlement
2013-11-12,for settlement
2013-11-11,for settlement
2013-11-10,for settlement
2013-11-08,Chhat Parba
2013-11-07,for settlement
2013-11-06,for settlement
2013-11-05,tihar
2013-11-04,tihar
2013-11-03,tihar
2013-11-01,for settlement
2013-10-31,for settlement
2013-10-30,for settlement
2013-10-29,for settlement
2013-10-28,for settlement
2013-10-27,for settlement
2013-10-25,for settlement
2013-10-24,for settlement
2013-10-23,for settlement
2013-10-22,for settlement
2013-10-21,for settlement
2013-10-20,for settlement
2013-10-18,Dashain Bida
2013-10-17,for settlement
2013-10-16,Dashain Bida
2013-10-15,Dashain Bida
2013-10-14,Dashain Bida
2013-10-13,Dashain Bida
2013-10-11,Dashain Bida
2013-10-10,for settlement
2013-10-09,for settlement
2013-10-08,for settlement
2013-10-07,for settlement
2013-10-06,for settlement
2013-10-04,for settlement
2013-10-03,for settlement
2013-10-02,for settlement
2013-10-01,for settlement
2013-09-30,for settlement
2013-09-29,for settlement
2013-09-27,for settlement
2013-09-26,for settlement
2013-09-25,for settlement
2013-09-24,for settlement
2013-09-23,for settlement
2013-09-20,for settlement
2013-09-19,for settlement
2013-09-18,Indrajatra
2013-09-17,for settlement
2013-09-16,for settlement
2013-09-15,for settlement
2013-09-13,for settlement
2013-09-12,for settlement
2013-09-11,for settlement
2013-09-10,for settlement
2013-09-09,for settlement
2013-09-08,for settlement
2013-09-06,for settlement
2013-09-05,for settlement
2013-09-04,for settlement
2013-09-03,for settlement
2013-09-02,for settlement
2013-08-30,for settlement
2013-08-29,for settlement
2013-08-28,Shree Krishna Janma Asthami
2013-08-27,for settlement
2013-08-26,for settlement
2013-08-25,for settlement
2013-08-23,for settlement
2013-08-22,GaiJatra
2013-08-21,Janai Purnima
2013-08-19,for settlement
2013-08-18,for settlement
2013-08-16,for settlement
2013-08-15,for settlement
2013-08-14,for settlement
2013-08-13,for settlement
2013-08-12,for settlement
2013-08-11,for settlement
2013-08-09,for settlement
2013-08-08,for settlement
2013-08-07,for settlement
2013-08-06,for settlement
2013-08-05,for settlement
2013-08-04,for settlement
2013-08-02,for settlement
2013-08-01,for settlement
2013-07-31,for settlement
2013-07-30,for settlement
2013-07-29,for settlement
2013-07-28,for settlement
2013-07-26,for settlement
2013-07-25,for settlement
2013-07-24,for settlement
2013-07-23,for settlement
2013-07-22,for settlement
2013-07-21,for settlement
2013-07-19,for settlement
2013-07-18,for settlement
2013-07-17,for settlement
2013-07-16,for settlement
2013-07-15,for settlement
2013-07-14,for settlement
2013-07-12,for settlement
2013-07-11,for settlement
2013-07-10,for settlement
2013-07-09,for settlement
2013-07-08,for settlement
2013-07-07,for settlement
2013-07-05,for settlement
2013-07-04,for settlement
2013-07-03,for settlement
2013-07-02,for settlement
2013-07-01,for settlement
2013-06-30,for settlement
2013-06-28,for settlement
2013-06-27,for settlement
2013-06-26,for settlement
2013-06-25,for settlement
2013-06-24,for settlement
2013-06-23,for settlement
2013-06-21,for settlement
2013-06-20,for settlement
2013-06-19,for settlement
2013-06-18,for settlement
2013-06-17,for settlement
2013-06-16,foe settlement
2013-06-14,for settlement
2013-06-13,for settlement
2013-06-12,for settlement
2013-06-11,for settlement
2013-06-10,for settlement
2013-06-09,for settlement
2013-06-07,Bhote Jatra
2013-06-06,for settlement
2013-06-05,for settlement
2013-06-04,for settlement
2013-06-03,for settlement
2013-06-02,for settlement
2013-05-31,for settlement
2013-05-30,for settlement
2013-05-29,Ganatantra Diwas
2013-05-28,for settlement
2013-05-27,for settlement
2013-05-26,for settlement
2013-05-24,for settlement
2013-05-23,for settlement
2013-05-22,for settlement
2013-05-21,for settlement
2013-05-20,for settlement
2013-05-19,for settlement
2013-05-17,for settlement
2013-05-16,for settlement
2013-05-15,for settlement
2013-05-14,for settlement
2013-05-13,for settlement
2013-05-12,for settlement
2013-05-10,for settlement
2013-05-09,for settlement
2013-05-08,for settlement
2013-05-07,for settlement
2013-05-06,for settlement
2013-05-05,for settlement
2013-05-03,for settlement
2013-05-02,for settlement
2013-05-01,Majdur Diwas
2013-04-30,for settlement
2013-04-29,for settlement
2013-04-28,for settlement
2013-04-26,for settlement
2013-04-25,for settlement
2013-04-24,Loktantra Diwas
2013-04-22,for settlement
2013-04-21,for settlement
2013-04-19,for settlement
2013-04-18,for settlement
2013-04-17,for settlement
2013-04-16,for settlement
2013-04-15,for settlement
2013-04-14,new Year
2013-04-12,for settlement
2013-04-11,for settlement
2013-04-10,Ghode Jatra
2013-04-09,for settlement
2013-04-08,for settlement
2013-04-07,for settlement
2013-04-05,for settlement
2013-04-04,for settlement
2013-04-03,for settlement
2013-04-02,for settlement
2013-04-01,for settlement
2013-03-31,for settlement
2013-03-29,For Settlement
2013-03-28,for settlement
2013-03-27,for settlement
2013-03-26,Holi Leave
2013-03-25,for settlement
2013-03-24,for settlement
2013-03-22,for settlement
2013-03-21,for settlement
2013-03-20,for settlement
2013-03-19,for settlement
2013-03-18,for settlement
2013-03-17,for settlement
2013-03-15,for settlement
2013-03-14,for settlement
2013-03-13,for settlement
2013-03-12,Gyalpo Loshar
2013-03-11,for settlement
2013-03-10,MahaShivaRatri
2013-03-08,International Women's Day
2013-03-07,for settlement
2013-03-06,for settlement
2013-03-05,for settlement
2013-03-04,for settlement
2013-03-03,for settlement
2013-03-01,for settlement
2013-02-28,for settlement
2013-02-27,for settlement
2013-02-26,for settlement
2013-02-25,for settlement
2013-02-22,for settlement
2013-02-21,for settlement
2013-02-20,for settlement
2013-02-19,for settlement
2013-02-18,Democracy Day
2013-02-15,for settlement
2013-02-14,for settlement
2013-02-13,for settlement
2013-02-12,for settlement
2013-02-11,Loshar
2013-02-08,for seetlement
2013-02-07,for settlement
2013-02-06,for seetlement
2013-02-05,for seetlement
2013-02-04,for settlement
2013-02-01,for settlement
2013-01-31,for settlement
2013-01-30,for settlement
2013-01-29,Martyr Day
2013-01-25,for settlement
2013-01-24,for settlement
2013-01-23,for settlement
2013-01-22,for settlement
2013-01-21,for settlement
2013-01-18,for settlement
2013-01-17,for settlement
2013-01-16,for settlement
2013-01-15,for settlement
2013-01-14,Maghi Sakranti
2013-01-11,for settlement
2013-01-10,for settlement
2013-01-09,for settlement
2013-01-08,for settlement
2013-01-07,for settlement
2013-01-04,for settlement
2013-01-03,for settlement
2013-01-02,for settlement
2013-01-01,for settlement
2012-12-31,for settlement
2012-12-30,Tamu Loshar
2012-12-28,for settlement
2012-12-27,for settlement
2012-12-26,for settlement
2012-12-25,Christmas
2012-12-24,for settlement
2012-12-23,for settlement
2012-12-21,for settlement
2012-12-20,for settlement
2012-12-19,for settlement
2012-12-18,for settlement
2012-12-17,for settlement
2012-12-16,for settlement
2012-12-14,for settlement
2012-12-13,for settlement
2012-12-12,for settlement
2012-12-11,for settlement
2012-12-10,for settlement
2012-12-09,for settlement
2012-12-07,for settlement
2012-12-06,for settlement
2012-12-05,for settlement
2012-12-04,for settlement
2012-12-03,for settlement
2012-12-02,for settlement
2012-11-30,for settlement
2012-11-29,for settlement
2012-11-28,for settlement
2012-11-27,for settlement
2012-11-26,for settlement
2012-11-25,for settlement
2012-11-23,for settlement
2012-11-22,for settlement
2012-11-21,for settlement
2012-11-20,for settlement
2012-11-19,for settlement
2012-11-18,for settlement
2012-11-16,for settlement
2012-11-15,Tihar
2012-11-14,Tihar
2012-11-13,Tihar
2012-11-12,for settlement
2012-11-11,for settlement
2012-11-09,for settlement
2012-11-08,for settlement
2012-11-07,for settlement
2012-11-06,for settlement
2012-11-05,for settlement
2012-11-04,for settlement
2012-11-02,for settlement
2012-11-01,for settlement
2012-10-31,for settlement
2012-10-30,for settlement
2012-10-29,Dashain
2012-10-28,Idul Joha
2012-10-26,Dashain
2012-10-25,Dashain
2012-10-24,Dashain
2012-10-23,Dashain
2012-10-22,Dashain
2012-10-21,Dashain
2012-10-19,for settlement
2012-10-18,for settlement
2012-10-17,for settlement
2012-10-16,Ghatasthapana
2012-10-15,for settlement
2012-10-14,for settlement
2012-10-12,for settlement
2012-10-11,for settlement
2012-10-10,for settlement
2012-10-09,for settlement
2012-10-08,for settlement
2012-10-07,for settlement
2012-10-05,for settlement
2012-10-04,for settlement
2012-10-03,for settlement
2012-10-02,for settlement
2012-10-01,for settlement
2012-09-30,for settlement
2012-09-28,for settlement
2012-09-27,for settlement
2012-09-26,for settlement
2012-09-25,for settlement
2012-09-24,for settlement
2012-09-23,for settlement
2012-09-21,for settlement
2012-09-20,for settlement
2012-09-19,for settlement
2012-09-18,for settlement
2012-09-17,for settlement
2012-09-16,for settlement
2012-09-14,for settlement
2012-09-13,for settlement
2012-09-12,for settlement
2012-09-11,for settlement
2012-09-10,for settlement
2012-09-09,for settlement
2012-09-07,for settlement
2012-09-06,for settlement
2012-09-05,for settlement
2012-09-04,for settlement
2012-09-03,for settlement
2012-09-02,for settlement
2012-08-31,for settlement
2012-08-30,for settlement
2012-08-29,for settlement
2012-08-28,for settlement
2012-08-27,for settlement
2012-08-26,for settlement
2012-08-24,for settlement
2012-08-23,for settlement
2012-08-22,for settlement
2012-08-21,for settlement
2012-08-20,Idull Fitra
2012-08-19,for settlement
2012-08-17,for settlement
2012-08-16,for settlement
2012-08-15,for settlement
2012-08-14,for settlement
2012-08-13,for settlelment
2012-08-12,for settlelment
2012-08-10,for settlelment
2012-08-09,Shree Krishna Janamasthami
2012-08-08,for settlelment
2012-08-07,for settlelment
2012-08-06,for settlelment
2012-08-05,for settlelment
2012-08-03,Gai jatra
2012-08-02,Janai Purnima
2012-08-01,for settlelment
2012-07-31,for settlelment
2012-07-30,for settlelment
2012-07-29,for settlelment
2012-07-27,for settlement
2012-07-26,for settlement
2012-07-25,for settlement
2012-07-24,for settlement
2012-07-23,for settlement
2012-07-22,for settlement
2012-07-20,for settlement
2012-07-19,for settlement
2012-07-18,for settlement
2012-07-17,for settlement
2012-07-16,for settlement
2012-07-15,for settlement
2012-07-13,for settlement
2012-07-12,for settlement
2012-07-11,for settlement
2012-07-10,for settlement
2012-07-09,for settlement
2012-07-08,for settlement
2012-07-06,for settlement
2012-07-05,for settlement
